Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8044692737430168,0.7931034482758621,0.6666666666666666,0.7244094488188977
Decision Tree,0.7653631284916201,0.7547169811320755,0.5797101449275363,0.6557377049180327
Random Forest,0.7821229050279329,0.7884615384615384,0.5942028985507246,0.6776859504132231
