Feature,Importance
Sex_male,0.4447752673361528
Fare,0.1770854860648991
Pclass,0.13455960090306218
Age,0.12010546089375408
SibSp,0.05182380073066115
Parch,0.033170803219497225
Embarked_S,0.026287165038358994
Embarked_Q,0.012192415813614563
